Source,Target,Type,Id,Label,timeset,Weight,correlation
otu75,otu2087,Undirected,114,,,0.991803,0.991803
otu75,otu2089,Undirected,115,,,0.991803,0.991803
otu75,otu2090,Undirected,116,,,0.991803,0.991803
otu75,otu2091,Undirected,117,,,0.991803,0.991803
otu75,otu2123,Undirected,118,,,0.991803,0.991803
otu75,otu2128,Undirected,119,,,0.991803,0.991803
otu75,otu2145,Undirected,120,,,0.991803,0.991803
otu75,otu2266,Undirected,121,,,0.991803,0.991803
otu75,otu2292,Undirected,122,,,0.991803,0.991803
otu75,otu2754,Undirected,123,,,0.991803,0.991803
otu75,otu2765,Undirected,124,,,0.991803,0.991803
otu75,otu2847,Undirected,125,,,0.991803,0.991803
otu75,otu3801,Undirected,126,,,0.991803,0.991803
otu75,otu3934,Undirected,127,,,0.991803,0.991803
otu75,otu5424,Undirected,128,,,0.991803,0.991803
otu75,otu5426,Undirected,129,,,0.991803,0.991803
otu75,otu5523,Undirected,130,,,0.991803,0.991803
otu75,otu5544,Undirected,131,,,0.991803,0.991803
otu75,otu5714,Undirected,132,,,0.991803,0.991803
otu75,otu5720,Undirected,133,,,0.991803,0.991803
otu75,otu5844,Undirected,134,,,0.991803,0.991803
otu75,otu6123,Undirected,135,,,0.991803,0.991803
otu75,otu6128,Undirected,136,,,0.991803,0.991803
otu75,otu6156,Undirected,137,,,0.991803,0.991803
otu75,otu6238,Undirected,138,,,0.991803,0.991803
otu75,otu6386,Undirected,139,,,0.991803,0.991803
otu75,otu6660,Undirected,140,,,0.991803,0.991803
otu75,otu6685,Undirected,141,,,0.991803,0.991803
otu75,otu6758,Undirected,142,,,0.991803,0.991803
otu75,otu6803,Undirected,143,,,0.991803,0.991803
otu75,otu6845,Undirected,144,,,0.991803,0.991803
otu75,otu6914,Undirected,145,,,0.991803,0.991803
otu75,otu7361,Undirected,146,,,0.991803,0.991803
otu75,otu9674,Undirected,147,,,0.991803,0.991803
otu75,otu9722,Undirected,148,,,0.991803,0.991803
otu107,otu675,Undirected,149,,,0.993506,0.993506
otu107,otu1938,Undirected,150,,,0.993506,0.993506
otu107,otu2125,Undirected,151,,,0.993506,0.993506
otu155,otu838,Undirected,152,,,0.981763,0.981763
otu155,otu2750,Undirected,153,,,0.987842,0.987842
otu155,otu2772,Undirected,154,,,0.987842,0.987842
otu155,otu2776,Undirected,155,,,0.981763,0.981763
otu155,otu3518,Undirected,156,,,0.981763,0.981763
otu155,otu8854,Undirected,157,,,0.993921,0.993921
otu158,otu468,Undirected,158,,,0.98995,0.98995
otu158,otu973,Undirected,159,,,0.98995,0.98995
otu158,otu1147,Undirected,160,,,0.98995,0.98995
otu158,otu1236,Undirected,161,,,0.98995,0.98995
otu158,otu1287,Undirected,162,,,0.98995,0.98995
otu158,otu1345,Undirected,163,,,0.98995,0.98995
otu158,otu1837,Undirected,164,,,0.98995,0.98995
otu158,otu2050,Undirected,165,,,0.98995,0.98995
otu158,otu2126,Undirected,166,,,0.98995,0.98995
otu158,otu2142,Undirected,167,,,0.98995,0.98995
otu158,otu2298,Undirected,168,,,0.98995,0.98995
otu158,otu2735,Undirected,169,,,0.98995,0.98995
otu158,otu2774,Undirected,170,,,0.98995,0.98995
otu158,otu2816,Undirected,171,,,0.98995,0.98995
otu158,otu2839,Undirected,172,,,0.98995,0.98995
otu158,otu3741,Undirected,173,,,0.98995,0.98995
otu158,otu5014,Undirected,174,,,0.98995,0.98995
otu158,otu5061,Undirected,175,,,0.98995,0.98995
otu158,otu5119,Undirected,176,,,0.98995,0.98995
otu158,otu5678,Undirected,177,,,0.98995,0.98995
otu158,otu5717,Undirected,178,,,0.98995,0.98995
otu158,otu5941,Undirected,179,,,0.98995,0.98995
otu158,otu6361,Undirected,180,,,0.98995,0.98995
otu158,otu6447,Undirected,181,,,0.98995,0.98995
otu158,otu6672,Undirected,182,,,0.98995,0.98995
otu158,otu6695,Undirected,183,,,0.98995,0.98995
otu158,otu6716,Undirected,184,,,0.98995,0.98995
otu158,otu6804,Undirected,185,,,0.98995,0.98995
otu158,otu8803,Undirected,186,,,0.98995,0.98995
otu158,otu10010,Undirected,187,,,0.98995,0.98995
otu165,otu450,Undirected,188,,,0.991803,0.991803
otu165,otu579,Undirected,189,,,0.991803,0.991803
otu165,otu596,Undirected,190,,,0.991803,0.991803
otu165,otu598,Undirected,191,,,0.991803,0.991803
otu165,otu603,Undirected,192,,,0.991803,0.991803
otu165,otu616,Undirected,193,,,0.991803,0.991803
otu165,otu628,Undirected,194,,,0.991803,0.991803
otu165,otu632,Undirected,195,,,0.991803,0.991803
otu165,otu643,Undirected,196,,,0.991803,0.991803
otu165,otu652,Undirected,197,,,0.991803,0.991803
otu165,otu654,Undirected,198,,,0.991803,0.991803
otu165,otu660,Undirected,199,,,0.991803,0.991803
otu165,otu661,Undirected,200,,,0.991803,0.991803
otu165,otu680,Undirected,201,,,0.991803,0.991803
otu165,otu687,Undirected,202,,,0.991803,0.991803
otu165,otu694,Undirected,203,,,0.991803,0.991803
otu165,otu695,Undirected,204,,,0.991803,0.991803
otu165,otu700,Undirected,205,,,0.991803,0.991803
otu165,otu734,Undirected,206,,,0.991803,0.991803
otu165,otu741,Undirected,207,,,0.991803,0.991803
otu165,otu759,Undirected,208,,,0.991803,0.991803
otu165,otu779,Undirected,209,,,0.991803,0.991803
otu165,otu782,Undirected,210,,,0.991803,0.991803
otu165,otu789,Undirected,211,,,0.991803,0.991803
otu165,otu803,Undirected,212,,,0.991803,0.991803
otu165,otu815,Undirected,213,,,0.991803,0.991803
otu165,otu835,Undirected,214,,,0.991803,0.991803
otu165,otu836,Undirected,215,,,0.991803,0.991803
otu165,otu837,Undirected,216,,,0.991803,0.991803
otu165,otu851,Undirected,217,,,0.991803,0.991803
otu165,otu853,Undirected,218,,,0.991803,0.991803
otu165,otu855,Undirected,219,,,0.991803,0.991803
otu165,otu884,Undirected,220,,,0.991803,0.991803
otu165,otu886,Undirected,221,,,0.991803,0.991803
otu165,otu894,Undirected,222,,,0.991803,0.991803
otu165,otu900,Undirected,223,,,0.991803,0.991803
otu165,otu908,Undirected,224,,,0.991803,0.991803
otu165,otu929,Undirected,225,,,0.991803,0.991803
otu165,otu931,Undirected,226,,,0.991803,0.991803
otu165,otu932,Undirected,227,,,0.991803,0.991803
otu165,otu955,Undirected,228,,,0.991803,0.991803
otu165,otu989,Undirected,229,,,0.991803,0.991803
otu165,otu1038,Undirected,230,,,0.991803,0.991803
otu165,otu1047,Undirected,231,,,0.991803,0.991803
otu165,otu1055,Undirected,232,,,0.991803,0.991803
otu165,otu1065,Undirected,233,,,0.991803,0.991803
otu165,otu1066,Undirected,234,,,0.991803,0.991803
otu165,otu1112,Undirected,235,,,0.991803,0.991803
otu165,otu1156,Undirected,236,,,0.991803,0.991803
otu165,otu1272,Undirected,237,,,0.991803,0.991803
otu165,otu1277,Undirected,238,,,0.991803,0.991803
otu165,otu1575,Undirected,239,,,0.991803,0.991803
otu165,otu1586,Undirected,240,,,0.991803,0.991803
otu165,otu1607,Undirected,241,,,0.991803,0.991803
otu165,otu1616,Undirected,242,,,0.991803,0.991803
otu165,otu1636,Undirected,243,,,0.991803,0.991803
otu165,otu1649,Undirected,244,,,0.991803,0.991803
otu165,otu1677,Undirected,245,,,0.991803,0.991803
otu165,otu1787,Undirected,246,,,0.991803,0.991803
otu165,otu1806,Undirected,247,,,0.991803,0.991803
otu165,otu1814,Undirected,248,,,0.991803,0.991803
otu165,otu1823,Undirected,249,,,0.991803,0.991803
otu165,otu1832,Undirected,250,,,0.991803,0.991803
otu165,otu1835,Undirected,251,,,0.991803,0.991803
otu165,otu1844,Undirected,252,,,0.991803,0.991803
otu165,otu1877,Undirected,253,,,0.991803,0.991803
otu165,otu1885,Undirected,254,,,0.991803,0.991803
otu165,otu1900,Undirected,255,,,0.991803,0.991803
otu165,otu1904,Undirected,256,,,0.991803,0.991803
otu165,otu1909,Undirected,257,,,0.991803,0.991803
otu165,otu1917,Undirected,258,,,0.991803,0.991803
otu165,otu1944,Undirected,259,,,0.991803,0.991803
otu165,otu1947,Undirected,260,,,0.991803,0.991803
otu165,otu1964,Undirected,261,,,0.991803,0.991803
otu165,otu1969,Undirected,262,,,0.991803,0.991803
otu165,otu1986,Undirected,263,,,0.991803,0.991803
otu165,otu2000,Undirected,264,,,0.991803,0.991803
otu165,otu2012,Undirected,265,,,0.991803,0.991803
otu165,otu2048,Undirected,266,,,0.991803,0.991803
otu165,otu2058,Undirected,267,,,0.991803,0.991803
otu165,otu2072,Undirected,268,,,0.991803,0.991803
otu165,otu2085,Undirected,269,,,0.991803,0.991803
otu165,otu2087,Undirected,270,,,0.991803,0.991803
otu165,otu2089,Undirected,271,,,0.991803,0.991803
otu165,otu2090,Undirected,272,,,0.991803,0.991803
otu165,otu2091,Undirected,273,,,0.991803,0.991803
otu165,otu2123,Undirected,274,,,0.991803,0.991803
otu165,otu2128,Undirected,275,,,0.991803,0.991803
otu165,otu2145,Undirected,276,,,0.991803,0.991803
otu165,otu2266,Undirected,277,,,0.991803,0.991803
otu165,otu2292,Undirected,278,,,0.991803,0.991803
otu165,otu2754,Undirected,279,,,0.991803,0.991803
otu165,otu2765,Undirected,280,,,0.991803,0.991803
otu165,otu2847,Undirected,281,,,0.991803,0.991803
otu165,otu3801,Undirected,282,,,0.991803,0.991803
otu165,otu3934,Undirected,283,,,0.991803,0.991803
otu165,otu5424,Undirected,284,,,0.991803,0.991803
otu165,otu5426,Undirected,285,,,0.991803,0.991803
otu165,otu5523,Undirected,286,,,0.991803,0.991803
otu165,otu5544,Undirected,287,,,0.991803,0.991803
otu165,otu5714,Undirected,288,,,0.991803,0.991803
otu165,otu5720,Undirected,289,,,0.991803,0.991803
otu165,otu5844,Undirected,290,,,0.991803,0.991803
otu165,otu6123,Undirected,291,,,0.991803,0.991803
otu165,otu6128,Undirected,292,,,0.991803,0.991803
otu165,otu6156,Undirected,293,,,0.991803,0.991803
otu165,otu6238,Undirected,294,,,0.991803,0.991803
otu165,otu6386,Undirected,295,,,0.991803,0.991803
otu165,otu6660,Undirected,296,,,0.991803,0.991803
otu165,otu6685,Undirected,297,,,0.991803,0.991803
otu165,otu6758,Undirected,298,,,0.991803,0.991803
otu165,otu6803,Undirected,299,,,0.991803,0.991803
otu165,otu6845,Undirected,300,,,0.991803,0.991803
otu165,otu6914,Undirected,301,,,0.991803,0.991803
otu165,otu7361,Undirected,302,,,0.991803,0.991803
otu165,otu9674,Undirected,303,,,0.991803,0.991803
otu165,otu9722,Undirected,304,,,0.991803,0.991803
otu207,otu3773,Undirected,305,,,0.98995,0.98995
otu207,otu6490,Undirected,306,,,0.98995,0.98995
otu207,otu8270,Undirected,307,,,0.98995,0.98995
otu214,otu2563,Undirected,308,,,0.98995,0.98995
otu214,otu2602,Undirected,309,,,0.98995,0.98995
otu214,otu2855,Undirected,310,,,0.98995,0.98995
otu214,otu3786,Undirected,311,,,0.98995,0.98995
otu214,otu3887,Undirected,312,,,0.98995,0.98995
otu214,otu4011,Undirected,313,,,0.98995,0.98995
otu214,otu4021,Undirected,314,,,0.98995,0.98995
otu214,otu4127,Undirected,315,,,0.98995,0.98995
otu214,otu4165,Undirected,316,,,0.98995,0.98995
otu214,otu4295,Undirected,317,,,0.98995,0.98995
otu214,otu5211,Undirected,318,,,0.98995,0.98995
otu214,otu5361,Undirected,319,,,0.98995,0.98995
otu214,otu7503,Undirected,320,,,0.98995,0.98995
otu214,otu7945,Undirected,321,,,0.98995,0.98995
otu214,otu8202,Undirected,322,,,0.98995,0.98995
otu235,otu8895,Undirected,323,,,0.98995,0.98995
otu278,otu2444,Undirected,324,,,0.987013,0.987013
otu310,otu468,Undirected,325,,,0.98995,0.98995
otu310,otu973,Undirected,326,,,0.98995,0.98995
otu310,otu1147,Undirected,327,,,0.98995,0.98995
otu310,otu1236,Undirected,328,,,0.98995,0.98995
otu310,otu1287,Undirected,329,,,0.98995,0.98995
otu310,otu1345,Undirected,330,,,0.98995,0.98995
otu310,otu1837,Undirected,331,,,0.98995,0.98995
otu310,otu2050,Undirected,332,,,0.98995,0.98995
otu310,otu2126,Undirected,333,,,0.98995,0.98995
otu310,otu2142,Undirected,334,,,0.98995,0.98995
otu310,otu2298,Undirected,335,,,0.98995,0.98995
otu310,otu2735,Undirected,336,,,0.98995,0.98995
otu310,otu2774,Undirected,337,,,0.98995,0.98995
otu310,otu2816,Undirected,338,,,0.98995,0.98995
otu310,otu2839,Undirected,339,,,0.98995,0.98995
otu310,otu3741,Undirected,340,,,0.98995,0.98995
otu310,otu5014,Undirected,341,,,0.98995,0.98995
otu310,otu5061,Undirected,342,,,0.98995,0.98995
otu310,otu5119,Undirected,343,,,0.98995,0.98995
otu310,otu5678,Undirected,344,,,0.98995,0.98995
otu310,otu5717,Undirected,345,,,0.98995,0.98995
otu310,otu5941,Undirected,346,,,0.98995,0.98995
otu310,otu6361,Undirected,347,,,0.98995,0.98995
otu310,otu6447,Undirected,348,,,0.98995,0.98995
otu310,otu6672,Undirected,349,,,0.98995,0.98995
otu310,otu6695,Undirected,350,,,0.98995,0.98995
otu310,otu6716,Undirected,351,,,0.98995,0.98995
otu310,otu6804,Undirected,352,,,0.98995,0.98995
otu310,otu8803,Undirected,353,,,0.98995,0.98995
otu310,otu10010,Undirected,354,,,0.98995,0.98995
otu430,otu3733,Undirected,355,,,0.991803,0.991803
otu440,otu6439,Undirected,356,,,0.98995,0.98995
otu450,otu517,Undirected,357,,,0.991803,0.991803
otu450,otu528,Undirected,358,,,0.991803,0.991803
otu450,otu578,Undirected,359,,,0.991803,0.991803
otu450,otu592,Undirected,360,,,0.991803,0.991803
otu450,otu634,Undirected,361,,,0.991803,0.991803
otu450,otu641,Undirected,362,,,0.991803,0.991803
otu450,otu669,Undirected,363,,,0.991803,0.991803
otu450,otu686,Undirected,364,,,0.991803,0.991803
otu450,otu756,Undirected,365,,,0.991803,0.991803
otu450,otu788,Undirected,366,,,0.991803,0.991803
otu450,otu816,Undirected,367,,,0.991803,0.991803
otu450,otu858,Undirected,368,,,0.991803,0.991803
otu450,otu878,Undirected,369,,,0.991803,0.991803
otu450,otu891,Undirected,370,,,0.991803,0.991803
otu450,otu979,Undirected,371,,,0.991803,0.991803
otu450,otu1129,Undirected,372,,,0.991803,0.991803
otu450,otu1363,Undirected,373,,,0.991803,0.991803
otu450,otu1413,Undirected,374,,,0.991803,0.991803
otu450,otu1626,Undirected,375,,,0.991803,0.991803
otu450,otu1639,Undirected,376,,,0.991803,0.991803
otu450,otu1660,Undirected,377,,,0.991803,0.991803
otu450,otu1761,Undirected,378,,,0.991803,0.991803
otu450,otu1840,Undirected,379,,,0.991803,0.991803
otu450,otu1849,Undirected,380,,,0.991803,0.991803
otu450,otu1862,Undirected,381,,,0.991803,0.991803
otu450,otu1905,Undirected,382,,,0.991803,0.991803
otu450,otu1907,Undirected,383,,,0.991803,0.991803
otu450,otu2031,Undirected,384,,,0.991803,0.991803
otu450,otu2107,Undirected,385,,,0.991803,0.991803
otu450,otu2181,Undirected,386,,,0.991803,0.991803
otu450,otu2364,Undirected,387,,,0.991803,0.991803
otu450,otu2375,Undirected,388,,,0.991803,0.991803
otu450,otu2769,Undirected,389,,,0.991803,0.991803
otu450,otu3712,Undirected,390,,,0.991803,0.991803
otu450,otu4148,Undirected,391,,,0.991803,0.991803
otu450,otu4153,Undirected,392,,,0.991803,0.991803
otu450,otu4649,Undirected,393,,,0.991803,0.991803
otu450,otu5382,Undirected,394,,,0.991803,0.991803
otu450,otu5412,Undirected,395,,,0.991803,0.991803
otu450,otu5439,Undirected,396,,,0.991803,0.991803
otu450,otu5518,Undirected,397,,,0.991803,0.991803
otu450,otu5725,Undirected,398,,,0.991803,0.991803
otu450,otu6448,Undirected,399,,,0.991803,0.991803
otu450,otu6888,Undirected,400,,,0.991803,0.991803
otu450,otu7293,Undirected,401,,,0.991803,0.991803
otu450,otu7543,Undirected,402,,,0.991803,0.991803
otu450,otu7550,Undirected,403,,,0.991803,0.991803
otu450,otu8656,Undirected,404,,,0.991803,0.991803
otu450,otu9516,Undirected,405,,,0.991803,0.991803
otu450,otu10030,Undirected,406,,,0.991803,0.991803
otu450,otu10159,Undirected,407,,,0.991803,0.991803
otu451,otu587,Undirected,408,,,0.980519,0.980519
otu451,otu589,Undirected,409,,,0.980519,0.980519
otu451,otu608,Undirected,410,,,0.980519,0.980519
otu451,otu621,Undirected,411,,,0.980519,0.980519
otu451,otu625,Undirected,412,,,0.980519,0.980519
otu451,otu689,Undirected,413,,,0.980519,0.980519
otu451,otu716,Undirected,414,,,0.980519,0.980519
otu451,otu725,Undirected,415,,,0.987013,0.987013
otu451,otu733,Undirected,416,,,0.980519,0.980519
otu451,otu784,Undirected,417,,,0.980519,0.980519
otu451,otu842,Undirected,418,,,0.980519,0.980519
otu451,otu949,Undirected,419,,,0.980519,0.980519
otu451,otu1039,Undirected,420,,,0.993506,0.993506
otu451,otu1060,Undirected,421,,,0.980519,0.980519
otu451,otu1093,Undirected,422,,,0.980519,0.980519
otu451,otu1102,Undirected,423,,,0.980519,0.980519
otu451,otu1262,Undirected,424,,,0.993506,0.993506
otu451,otu1266,Undirected,425,,,0.980519,0.980519
otu451,otu1640,Undirected,426,,,0.987013,0.987013
otu451,otu1819,Undirected,427,,,0.980519,0.980519
otu451,otu1856,Undirected,428,,,0.980519,0.980519
otu451,otu1883,Undirected,429,,,0.980519,0.980519
otu451,otu1884,Undirected,430,,,0.980519,0.980519
otu451,otu1910,Undirected,431,,,0.993506,0.993506
otu451,otu1915,Undirected,432,,,0.980519,0.980519
otu451,otu1927,Undirected,433,,,0.980519,0.980519
otu451,otu1976,Undirected,434,,,0.980519,0.980519
otu451,otu2098,Undirected,435,,,0.980519,0.980519
