	otus	S2441YD	S2441YG	S2442YD	S2442YG	S2443YD	S2443YG	S2444YD	S2444YG	S2445YD	S2445YG	S2446YD	S2447YD	S2447YG	S2451YD	S2451YG	S2452YD	S2452YG	S2453YD	S2453YG	S2454YD	S2455YD	S2455YG	S2456YD	S2456YG	S2457YD	S2461YD	S2461YG	S2462YD	S2462YG	S2463YD	S2463YG	S2464YD	S2464YG	S2465YD	S2465YG	S2466YD	S2466YG	S2467YD	S2467YG	taxa	staxa
5689	otu8149	4.13282e-05	0	0	0.00042188	0.0001478636	0.0004464649	0	0	0	6.16505e-05	0	0.0007701475	0.0002814074	7.21721e-05	0	0.0002009874	5.06447e-05	0.0004984153	0.0001018286	0.0008578352	5.45125e-05	0	0.0002709114	0.0002120413	0.0002474526	4.82435e-05	7.89314e-05	5.73019e-05	5.8287e-05	6.05325e-05	0.0001625449	4.52376e-05	5.93236e-05	0	4.25796e-05	0	0	0.0029331113	0.0029574828	CRT	RT
5690	otu8150	0.0005900748	0	0.0001339502	0.0019626592	0.003585123	0.0079750883	0.0001209885	0.0010784518	0.0003767988	0.0001504273	0	0.0056386612	0.0020831013	0.0003757927	0.001374061	0.0011041257	0.0009714579	0.0085756745	0.0017689761	0.0039592392	0.000548332	0.0001155775	0.0034648137	0.0003946323	0.0039703637	0.0007019428	0.0009166223	0.0016187782	0.0007857948	0.0008618669	0.0087046454	0.000452376	0.0008063621	9.58857e-05	0.0002084161	0	0.0001220575	0.0219665753	0.0203079034	CRAT	AT
5691	otu8151	0.000204345	0	9.90067e-05	0.0004516868	0.0006483249	0.001479462	6.51476e-05	0.000269613	0.0002138588	8.63108e-05	0	0.0023785972	0.0011427887	0.000121946	0.0001477982	0.0004515691	0.0002532236	0.0018592844	0.0005044068	0.0008798309	0.0001859839	6.44567e-05	0.0001996189	0.0002886117	0.0007924045	0.0001181965	0.0004150262	0.0004393144	0.0003302929	0.0001844799	0.0003032555	8.80943e-05	0.0001230416	0	0.0001949699	0	0.0001023708	0.0140527793	0.009574224	CRAT	AT
5692	otu8152	0	0	0	0	0.0004003691	0.0002334457	0	0	0	0	0	0.0004384616	0	0	0	0	0	0.003178619	0.0009922369	0	0	0	0	0	0.0001306772	0	0.0002036938	0	0	0	0	0	0	0	0	0	0	0.001143353	0.0013468861	CRT	RT
5693	otu8153	0.0069224731	0.0034102927	0.0042252556	0.0233042854	0.0787635147	0.3701544007	0.0017403729	0.0846532832	0.0052921555	0.0053660638	0.0036347471	0.0505707486	0.0296370067	0.0155792189	0.0049396917	0.04038803	0.0250092847	0.2059578949	0.0688053548	0.4213950247	0.0089913619	0.0014758351	0.0163117157	0.039957997	0.044688835	0.0604153205	0.0534136172	0.146972165	0.1176447121	0.0413638458	0.1253536869	0.0375876836	0.1427348765	0.0118131197	0.0310764123	0.0010634002	0.0209269493	0.2096259185	0.2031640315	CAT	AT
5694	otu8154	0.0004500181	0.0001548063	0.0002329569	0.0015339007	0.0038853998	0.0115059543	0.0001458066	0.0012962161	0.0004039554	0.0001898837	0.0007333774	0.0065314871	0.0030302776	0.0007391419	0.0002863589	0.0011719916	0.0011256941	0.0328783054	0.0112508773	0.0078964826	0.000413654	0.0001578077	0.0086691636	0.0014136084	0.0100037596	0.0068288658	0.0011890628	0.0024735312	0.0018220078	0.0006370321	0.0023071677	0.0007238016	0.0012743597	0.0002564943	0.0040473066	6.7589e-05	0.0016024964	0.0184393688	0.0195886924	CRAT	AT
5695	otu8155	0	0	0	0.0001604978	0.0001182909	0.0005077444	0	0	0	0	0	0.0004520925	0.0001612945	0.000129412	5.3115e-05	4.95943e-05	4.60407e-05	0.0002565373	0.0001065648	0.0005498943	0	0	0	0	0.0001334576	3.61826e-05	6.36543e-05	0.0001146038	5.61282e-05	0	7.52074e-05	0	9.22812e-05	0	0	0	0	0.0020139452	0.0020246879	CRT	RT
5696	otu8156	0	0	0	0.00010547	0.0018903789	0.0134172909	0	0	0.0001052321	0	0	8.63292e-05	0	0	0	0.0003053965	0.000207183	0.0035695329	0.0014161281	0.0038712561	0	0	0	0	0.0001251165	0	0	0.000288897	0.000202925	0	0	0	0.0001186473	0	0	0	0	0.0001905588	0.000209225	CRAT	AT
5697	otu8157	0	0	0	0	0.0002911775	0	0	0	0	0	0	0	0	0	0	0	0	0.0007622822	0.0002060253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001307757	0.0001917896	CRT	RT
5698	otu8158	0	0	0	0	0	0	0	0	0	0	0	0.0007633321	0.0013555602	0	0	0	0	0.000886886	0.0002983815	0	0	0	0	0	0.00060612	0	0	0	0	0	0	0	0	0	0	0	0	0.0032469729	0.0035459282	CRT	RT
5699	otu8159	0	0	0	0	0	0	0	0	0	0	0	0.0001635712	0	0	0	0	0	0.0005350635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006202503	0.0004555003	CRT	RT
5700	otu8161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045098922	0.0067017389	CRT	RT
5701	otu8162	0	0	0	0	0	0	0	0	0	0	0	0.003425907	0.0016541266	0	0	0	0	0.0005252906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012965473	0.0016825179	CRT	RT
5702	otu8163	0	0	0	0.0006488698	0	0	0	0	0	0	0	0.0002112794	0	0	0	0	0	0.0002247755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004110092	0.000433706	CRT	RT
5703	otu8165	0	0	0	0	0.0001114664	0	0	0	0	0	0	0	0	0	0	0	0	0.0001343767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005978316	0.0005928042	CRT	RT
5704	otu8166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004397782	0.0004144188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CRT	RT
5705	otu8167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008593829	0.0010853548	CRT	RT
5706	otu8168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009527941	0.0010003571	CRT	RT
5707	otu8169	0	0	0.0001776296	0.0019901731	0	0	0	0	0	0	0	0.0009564369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001853278	0.0022687838	CRT	RT
5708	otu8170	0	0	0	0	0	0	0	0	0	0	0	0.0001544839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002017682	0.0003138375	CRT	RT
5709	otu8172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004511414	CRT	RT
5710	otu8173	0.0002341931	9.56157e-05	0	0.0011922696	0.003714788	0.0117948434	0	0.0009799394	0.0017617888	0.000786661	0.0002162149	0.0044345957	0.0022787138	0.0003509057	0.0002771216	0.0015504744	0.0010105924	0.0279503466	0.0107630472	0.0075885418	0.0007214895	0.0002622719	0.0004277548	0.0009070654	0.0027080772	0.0013677029	0.0012476248	0.0022586492	0.0020724259	0.000746567	0.0041946299	0.0004238049	0.0011688954	0.0006112714	0.0100958562	0.0001239132	0.0004055458	0.0252583856	0.0292893232	CRAT	AT
5711	otu8174	0	0	4.36794e-05	0.0001811333	0.000168337	0.0001984288	0	0.0001607308	0	0	0	0.0008610204	0.0005147697	9.95477e-05	0	0.0001096295	5.98529e-05	0.0002858558	9.23562e-05	0.0049930405	0	0	0.0005133057	0.0002414914	0.0002835974	5.06557e-05	0.0001349472	7.40149e-05	0	0.0001325949	0.0001916575	0	4.17463e-05	3.11629e-05	3.58565e-05	0	0.0001259948	0.0030115767	0.0032211935	CRT	RT
5712	otu8175	8.72484e-05	0	0	9.62987e-05	0.0002229328	0.0021185196	0	8.81427e-05	0	0	0	0.000815584	0.0002642484	0	0	0	0.0001450281	0.000127047	3.78897e-05	0.0020456069	4.80993e-05	5.55661e-05	0.0002709114	0.0001001306	0.000166822	3.85948e-05	4.83773e-05	2.38758e-05	0	5.47675e-05	0.0001334324	0	0	0	0	0	0	0.0019504256	0.0020203291	CRT	RT
5713	otu8176	0	0	0	0	7.7344e-05	0	0	8.81427e-05	0	4.93204e-05	0	0.0003430451	9.60903e-05	0	0	0	0	0.0001294902	0	0	0	3.33396e-05	0	0	0.0001306772	0	0	0	0	0	0	0	7.03095e-05	0	0	0	0	0.0008668558	0.0015517522	CRT	RT
5714	otu8177	3.90322e-05	0	0	0.0001834261	0.001087366	0.0006244672	0	0	0	6.65826e-05	0	0.0013994421	0.0004529973	2.98643e-05	0	7.83068e-05	0	0.0001734681	2.84173e-05	0.0258230378	7.05456e-05	0	0.0002566529	0	0.0003392047	4.58313e-05	5.8562e-05	0	0	6.62975e-05	8.73376e-05	0	6.3718e-05	0	2.91334e-05	0	0	0.0044986829	0.0041474501	CRAT	AT
5715	otu8178	0	0	0	0.0001031772	0.0001114664	0.0001517397	0	0	0	0	0	0.0003680351	0.0002024761	0	0	0	0	6.84099e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001778549	0.0014188072	CRT	RT
5716	otu8179	5.74003e-05	2.50422e-05	0	5.2735e-05	0.0002547803	0.0004668914	0	0	3.39458e-05	4.19224e-05	0	0.0035440417	0.0014996957	0	0	8.61375e-05	0	0.0004739832	6.86751e-05	0	5.13059e-05	4.88982e-05	0	8.24605e-05	0.0005477323	8.20139e-05	9.67546e-05	5.73019e-05	4.10168e-05	0.0001181824	0.0001989356	0	0	3.59571e-05	0	0	0	0.0141536634	0.010594196	CRAT	AT
5717	otu8180	0.138844375	0.1362978809	0.0051046678	0.0540075208	0.5418221888	0.2792010426	0.0001209885	0.0012962161	0.1425725022	0.1470858809	0.0001723875	11.3978447819	5.2501943685	0.0158479978	0.0116575799	0.318053452	0.0014111461	0.574452919	0.1186516433	0.0038492603	0.134758197	0.0216752174	0.001910638	0.0015785294	1.7250062683	0.502783987	0.6007185962	0.0312939904	0.0007965887	0.4096634937	0.715835783	0.0387471947	0.0378572714	0.0229190823	0.0131481439	0.0026449828	0.0041460165	58.7430911683	51.0989478728	CAT	AT
5718	otu8181	6.42883e-05	0.0001092751	0	4.58565e-05	0.0002183831	0.0001721662	0	0	0	0	0	0.003119211	0.0011874021	0.0001070138	0	0.0001513931	0	0.000195457	4.4994e-05	0	7.05456e-05	0	0	0	0.0006172414	0.0001423183	0.0002266094	6.92398e-05	6.26045e-05	0.0001960099	0.0003032555	4.04757e-05	0	5.034e-05	4.25796e-05	0	0	0.0126329293	0.0117057039	CRAT	AT
5719	otu8182	0.0003421056	4.32547e-05	0	6.6492e-05	0.0001888104	0.0001692481	0	0	5.43133e-05	3.94564e-05	0	0.0029829017	0.0013281058	0	0	9.13579e-05	3.68325e-05	0.000276083	6.39389e-05	0	0.0001314714	0	0	8.83505e-05	0.0005282697	0.0002460418	0.0002775329	5.25267e-05	3.45404e-05	0.0001210649	0.0002426044	0	0	0	0	0	0	0.0141349812	0.011027902	CRAT	AT
5720	otu8183	0.0001216886	0	0	0.0001352767	0.0008689829	0.0012518525	0	0	5.09188e-05	7.39807e-05	0	0.0056772822	0.0028072107	7.21721e-05	3.46402e-05	0.0008587644	0.0001312159	0.0006694401	0.000265228	0	0.000253323	9.11284e-05	0.0002281359	0	0.0013512582	0.000192974	0.0002826252	0.0005085542	0.0008138589	0.0003718422	0.0064629809	6.19041e-05	5.0535e-05	6.47229e-05	4.70617e-05	0	0	0.0253742155	0.0232370536	CRAT	AT
